"Id","Yard number","Yard name","Sale Date M/D/CY","Day of Week","Sale time (HHMM)","Time Zone","Item#","Lot number","Vehicle Type","Year","Make","Model Group","Model Detail","Body Style","Color","Damage Description","Secondary Damage","Sale Title State","Sale Title Type","Has Keys-Yes or No","Lot Cond. Code","VIN","Odometer","Odometer Brand","Est. Retail Value","Repair cost","Engine","Drive","Transmission","Fuel Type","Cylinders","Runs/Drives","Sale Status","High Bid =non-vix,Sealed=Vix","Special Note","Location city","Location state","Location ZIP","Location country","Currency Code","Image Thumbnail","Create Date/Time","Grid/Row","Make-an-Offer Eligible","Buy-It-Now Price","Image URL","Trim","Last Updated Time"
1,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,25768370,"V",2004,"TOYOTA","CELICA","CELICA GT","HATCHBAC","RED","MINOR DENT/SCRATCHES","","CA","SC","YES","D","JTDDR32T840179832",360482.0,"A",1616.0,1831.91,"1.8L  4","Front-wheel Drive","MANUAL","GAS","4","Run & Drive Verified","Pure Sale","0.0","","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX234/d3b799b1-664c-4eff-b5a0-24c94f185f2c.JPG","2020-02-18-07.08.43.000360"," C110","N",0.0,"http://inventory.copart.io/v1/lotImages/25768370?country=us&brand=cprt&yardNumber=1","GT","2020-02-12T22:54:11Z"
2,1,"CA - VALLEJO",0,"",1200,"PST",0,25846100,"V",2018,"TOYOTA","SEQUOIA SR","SEQUOIA SR","","GRAY","FRONT END","","CA","SC","YES","D","5TDBY5G13JS162961",44669.0,"A",33125.0,18031.74,"5.7L  8","4x4 w/Rear Wheel Drv","AUTOMATIC","GAS","8","Run & Drive Verified","Pure Sale","0.0","VALLEJO SUBLOT              ","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX236/299696d2-1344-424b-b88d-aa4652c4f1e2.JPG","2020-02-18-07.08.43.000360"," E030","N",0.0,"http://inventory.copart.io/v1/lotImages/25846100?country=us&brand=cprt&yardNumber=1","SR5","2020-02-17T21:11:49Z"
3,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,25849620,"R",1992,"ALLE","ALL OTHER","ALL OTHER","","TWO TONE","REAR END","","CA","SC","YES","D","1GBKP37N2M3315477",81748.0,"A",8802.12,0.0,"7.4L  8","Rear-wheel drive","AUTOMATIC","GAS","8","Run & Drive Verified","On Minimum Bid","15.0","VEH LOCATED @ FAIRFLD SUBLOT","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX234/1599329f-79ec-4e7c-bfa1-3e86a0944e91.JPG","2020-02-18-07.08.43.000361","BB060","N",0.0,"http://inventory.copart.io/v1/lotImages/25849620?country=us&brand=cprt&yardNumber=1","","2020-02-17T23:49:10Z"
4,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,25850350,"V",2016,"AUDI","A3","A3 PREMIUM","SEDAN 4D","SILVER","FRONT END","","CA","SC","NO","E","WAUE8GFF7G1067439",0.0,"N",20895.0,0.0,"2.0L  4","All wheel drive","AUTOMATIC","GAS","4","DEFAULT","Pure Sale","0.0","VALLEJO SUBLOT              ","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX234/af9b2cdb-340c-446a-b396-356cd3d61a88.JPG","2020-02-18-07.08.43.000362"," A100","N",0.0,"http://inventory.copart.io/v1/lotImages/25850350?country=us&brand=cprt&yardNumber=1","PREMIUM PLUS","2020-02-17T18:36:23Z"
5,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,25859020,"V",2009,"ACURA","TSX","TSX","SEDAN 4D","SILVER","FRONT END","","CA","SC","YES","D","JH4CU26689C003554",101396.0,"A",9960.0,0.0,"2.4L  4","Front-wheel Drive","AUTOMATIC","GAS","4","Run & Drive Verified","Pure Sale","300.0","","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX235/bed0f40f-c580-49e7-8dbf-976baa3ca1d4.JPG","2020-02-18-07.08.43.000363"," C090","N",0.0,"http://inventory.copart.io/v1/lotImages/25859020?country=us&brand=cprt&yardNumber=1","","2020-02-12T18:51:45Z"
6,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,25883080,"V",2016,"HONDA","CIVIC LX","CIVIC LX","SEDAN 4D","BLACK","SIDE","","CA","SC","YES","S","2HGFC2F58GH535536",87423.0,"A",12273.0,0.0,"2.0L  4","Front-wheel Drive","AUTOMATIC","GAS","4","Vehicle Starts","Pure Sale","0.0","VEH LOCATED @ FAIRFLD SUBLOT","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX235/b9dbd333-8a30-4687-a45f-2c9faa70c405.JPG","2020-02-18-07.08.43.000363","HH010","N",0.0,"http://inventory.copart.io/v1/lotImages/25883080?country=us&brand=cprt&yardNumber=1","LX","2020-02-17T18:44:34Z"
7,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,25884710,"V",2009,"LAND ROVER","RANGE ROVE","RANGE ROVE","4DR SPOR","SILVER","REAR END","","CA","SC","YES","D","SALSK25459A206375",162211.0,"A",8283.92,7553.45,"4.4L  8","All wheel drive","AUTOMATIC","GAS","8","Run & Drive Verified","Pure Sale","70.0","","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX234/94ed5020-50a2-46d1-a3e8-dabfa6bbf7c0.JPG","2020-02-18-07.08.43.000363"," E060","N",0.0,"http://inventory.copart.io/v1/lotImages/25884710?country=us&brand=cprt&yardNumber=1","HSE","2020-02-12T22:54:22Z"
8,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,25899240,"V",2006,"DODGE","CHARGER","CHARGER SE","SEDAN 4D","CHARCOAL","FRONT END","","CA","SC","YES","E","2B3KA43R66H315446",0.0,"E",3338.0,6810.37,"2.7L  6","Rear-wheel drive","AUTOMATIC","GAS","6","DEFAULT","Pure Sale","0.0","VALLEJO SUBLOT              ","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX235/bf249898-1b2a-4763-b9b8-208627d0b62c.JPG","2020-02-18-07.08.43.000364","SD006","N",0.0,"http://inventory.copart.io/v1/lotImages/25899240?country=us&brand=cprt&yardNumber=1","SE","2020-02-14T19:06:20Z"
9,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,25904730,"V",2012,"HONDA","CIVIC EX","CIVIC EX","COUPE","SILVER","FRONT END","","CA","SC","YES","D","2HGFG3B87CH542918",145547.0,"A",7523.0,0.0,"1.8L  4","Front-wheel Drive","AUTOMATIC","GAS","4","Run & Drive Verified","Pure Sale","0.0","VEH LOCATED @ FAIRFLD SUBLOT","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX235/46af9928-9b94-4e9b-8e3b-7b5179e4d3b9.JPG","2020-02-18-07.08.43.000365","CC100","N",0.0,"http://inventory.copart.io/v1/lotImages/25904730?country=us&brand=cprt&yardNumber=1","EX","2020-02-14T18:51:06Z"
10,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,25911660,"V",2003,"JAGUAR","X-TYPE","X-TYPE 3.0","SEDAN 4D","BLUE","FRONT END","BIOHAZARD/CHEMICAL","CA","SC","YES","D","SAJEA51C23WC87033",118094.0,"A",4098.0,0.0,"3.0L  6","All wheel drive","AUTOMATIC","GAS","6","Run & Drive Verified","Pure Sale","0.0","","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX236/f8336063-b0b6-4fd6-a4f4-fdb04fb9229c.JPG","2020-02-18-07.08.43.000365","GG090","N",0.0,"http://inventory.copart.io/v1/lotImages/25911660?country=us&brand=cprt&yardNumber=1","3.0","2020-02-12T18:47:33Z"
